"var","Group","Side","NatCom"
"dense_168","DIFF","up","DIFF_up"
"inception_res_389","DIFF","up","DIFF_up"
"inception_1150","DIFF","up","DIFF_up"
"inception_res_337","DIFF","up","DIFF_up"
"inception_res_454","DIFF","up","DIFF_up"
"dense_409","DIFF","down","DIFF_down"
"resnet_838","DIFF","down","DIFF_down"
"vgg_483","DIFF","down","DIFF_down"
"resnet_481","DIFF","down","DIFF_down"
"resnet_1848","DIFF","down","DIFF_down"
"dense_257","MET","up","MET_up"
"dense_236","MET","up","MET_up"
"dense_318","MET","up","MET_up"
"dense_352","MET","up","MET_up"
"dense_400","MET","up","MET_up"
"dense_133","MET","down","MET_down"
"vgg_27","MET","down","MET_down"
"inception_res_1232","MET","down","MET_down"
"inception_res_433","MET","down","MET_down"
"dense_596","MET","down","MET_down"
"dense_479","IMM","up","IMM_up"
"dense_725","IMM","up","IMM_up"
"resnet_2002","IMM","up","IMM_up"
"dense_52","IMM","up","IMM_up"
"inception_res_1268","IMM","up","IMM_up"
"vgg_264","IMM","down","IMM_down"
"dense_143","IMM","down","IMM_down"
"dense_311","IMM","down","IMM_down"
"dense_365","IMM","down","IMM_down"
"resnet_475","IMM","down","IMM_down"
"dense_447","STEM","up","STEM_up"
"inception_res_423","STEM","up","STEM_up"
"dense_382","STEM","up","STEM_up"
"inception_res_257","STEM","up","STEM_up"
"dense_714","STEM","up","STEM_up"
"dense_34","STEM","down","STEM_down"
"dense_368","STEM","down","STEM_down"
"vgg_335","STEM","down","STEM_down"
"dense_135","STEM","down","STEM_down"
"vgg_247","STEM","down","STEM_down"
