"Name","slide","Group"
"201405619 DIFF.ndpi.h1.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h10.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h11.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h12.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h13.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h14.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h15.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h16.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h17.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h18.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h19.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h2.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h20.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h21.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h22.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h23.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h24.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h25.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h26.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h27.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h28.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h29.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h3.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h30.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h31.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h32.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h33.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h34.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h35.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h36.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h37.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h38.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h39.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h4.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h40.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h41.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h42.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h43.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h44.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h45.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h46.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h47.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h48.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h49.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h5.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h50.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h51.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h6.jpg","201405619","DIFF"
"201405619 DIFF.ndpi.h7.jpg","201405619","DIFF"
