"","Name","slide","Group","dense_168","inception_res_389","inception_1150","inception_res_337","inception_res_454","dense_409","resnet_838","vgg_483","resnet_481","resnet_1848","dense_257","dense_236","dense_318","dense_352","dense_400","dense_133","vgg_27","inception_res_1232","inception_res_433","dense_596","dense_479","dense_725","resnet_2002","dense_52","inception_res_1268","vgg_264","dense_143","dense_311","dense_365","resnet_475","dense_447","inception_res_423","dense_382","inception_res_257","dense_714","dense_34","dense_368","vgg_335","dense_135","vgg_247","data"
"1","201405619 DIFF.ndpi.h1.jpg","201405619","DIFF",0.0014768085,0.057588317,0.9770853,0.74961305,0.1031005,3.1876214,0.0014345548,0.09954104,0.064858474,0.0039823637,0.22315411,0.018806964,0.0016578088,0.0023599777,0.008626385,0.124510005,0.014240852,0.8258765,1.9336718,0.042216577,0.009065163,3.659333,2.6483245,0.041310713,2.6598175,0.35744146,0.074693225,0.0005972968,0.013549921,0.013749551,0.4921426,0.866252,0.00095852907,1.7201763,0.044499617,0.46432593,0.037845217,0.18663074,0.035692345,0.22812285,"Discovery"
"2","201405619 DIFF.ndpi.h10.jpg","201405619","DIFF",0.0020487292,0.08297409,0,0.107689574,0.01859451,2.6723294,0.002712819,0.10197065,0.057911314,0.002220925,0.34629673,0.026892535,0.0011870805,0.0024084724,0.014527928,0.11925971,0.03915463,0.0033280957,0.047519714,0.22004084,0.0025865447,0.018425446,2.5757768,0.028577494,0.04415192,0.33865315,0.30231765,0.0014993964,0.014256298,0.015138395,0.75818604,0.97682756,0.0012859851,0.37428895,0.66468024,0.54062086,0.021350536,0.09926576,0.023210818,0.03158578,"Discovery"
"3","201405619 DIFF.ndpi.h11.jpg","201405619","DIFF",0.003350056,0.48300207,0.19497056,0.17831671,0.14048716,0.95796907,0,0.07877812,0.054693848,0.00013422966,0.100892395,0.019171577,0.00038313257,0.0021053038,0.008328038,0.16578014,0.033058733,0.18633017,1.0223536,0.46459895,0.0048974417,0.78989613,2.6349092,0.018769087,0.05454269,0.18950823,0.23636352,0.0013496935,0.019784778,0.01525666,0.5090909,0.933748,0.00085503043,0.83299285,0.09476055,0.69543886,0.021016607,0.09128456,0.34442008,0.0012137135,"Discovery"
"4","201405619 DIFF.ndpi.h12.jpg","201405619","DIFF",0.002380718,0.5324082,0.62828493,0.5077587,0.12262773,1.4604539,0,0.10319945,0.049653895,0.0012602442,0.23898962,0.026665568,0.0014873856,0.002756049,0.007941803,0.08644565,0.05577577,0.043901637,1.3580612,0.2717709,0.004514719,0.8135613,2.6499574,0.03787057,0.010202722,0.20509934,0.18462628,0.0008086865,0.015394926,0.012924027,0.41417736,1.5645392,0.0009165892,0.14740302,0.33087116,0.5150254,0.035483554,0.2625339,0.05043397,0.18442966,"Discovery"
"5","201405619 DIFF.ndpi.h13.jpg","201405619","DIFF",0.0039380486,0.08221178,0.47011346,0.46327564,0.07448044,0.7061186,0,0.049962137,0.04490991,0,0.18385933,0.021277364,0.0004922918,0.0021483945,0.009599482,0.243983,0.060593594,0.0013027659,0.20034271,0.45772824,0.0048923786,1.643192,2.739771,0.020918632,0.5873617,0.1827336,0.15173298,0.0012401826,0.013351815,0.010813654,0.615833,0.3716413,0.00073347334,0.5310884,0.11691676,0.92558795,0.016668415,0.28045562,0.16168973,0.14528044,"Discovery"
"6","201405619 DIFF.ndpi.h14.jpg","201405619","DIFF",0.0022693765,0.08057792,0,0.17048734,0.1660625,1.7881927,0,0.083944,0.050583247,0,0.31089723,0.03018243,0.0011279581,0.0030541646,0.014659095,0.08727548,0.029294612,0,0.16498162,0.24464837,0.003526304,0.02802751,2.5229292,0.03241615,0.02054596,0.38948858,0.2629171,0.0016406309,0.012919862,0.017289482,0.6676954,1.011886,0.0010615685,0.19110705,0.6676672,0.57408935,0.02483272,0.18918785,0.052460752,0.17409034,"Discovery"
"7","201405619 DIFF.ndpi.h15.jpg","201405619","DIFF",0.0032703022,0.17965582,0.08498067,0.0034287972,0.11581922,1.1188954,0,0.049983595,0.05801935,0,0.23965691,0.019754425,0.000639159,0.0023861807,0.006575791,0.15367998,0.002721072,0,0.0991217,0.37627497,0.005491599,0.14839755,2.8523543,0.032299004,0.023664761,0.16684207,0.0921908,0.0011750192,0.0121144345,0.01265954,0.50497806,0.42732003,0.0012385707,0.34545842,0.38309377,0.80901074,0.013107891,0.22446717,0.20977797,0.030862324,"Discovery"
"8","201405619 DIFF.ndpi.h16.jpg","201405619","DIFF",0.0030783354,0.88010126,0.48084685,0.20019193,0.4309721,1.0548636,0.0012271306,0.08511538,0.049165636,0,0.13939646,0.029790401,0.00075225625,0.0025066163,0.0073644896,0.27700967,0.07040767,0.25076127,1.4647453,0.27913395,0.0007924341,0.15445268,2.7823038,0.0254262,0.11005065,0.17340915,0.4348862,0.0010553172,0.008466611,0.009726534,0.414325,1.1977897,0.00016509765,0.2305686,0.39829123,1.4403477,0.03118802,0.20358157,0.2610061,0.033438306,"Discovery"
"9","201405619 DIFF.ndpi.h17.jpg","201405619","DIFF",0.002007987,0.8501949,0.17333223,0.40740216,0.6393045,1.1732776,0,0.12788144,0.05437859,0,0.16210483,0.027344355,0.00082392467,0.0026202388,0.010400056,0.2157601,0.052924246,0.33858433,1.840369,0.76707745,0.0013820714,0.23564929,2.6353483,0.022963466,0.20453468,0.3565636,0.38068888,0.0016344936,0.015577062,0.024063677,0.59078825,1.9236991,0.0002685019,1.1778389,0.07604381,1.1944205,0.032988083,0.19701004,0.3036024,0.3333488,"Discovery"
"10","201405619 DIFF.ndpi.h18.jpg","201405619","DIFF",0.0027261078,0.03927814,0,0.017318517,0.044733286,1.6058463,0,0.115005165,0.05488643,0.0007657275,0.18388693,0.015640557,0.0006472413,0.0022740187,0.007955721,0.16471207,0.02312666,0.009319427,0.347141,0.19915657,0.003743004,0.10913856,2.683372,0.0272537,0,0.21025945,0.013152059,0.001264276,0.014516541,0.014646754,0.42388818,0.64398545,0.0009529725,0.26957282,0.11050975,0.7739453,0.037612375,0.11365557,0.27286753,0.01615211,"Discovery"
"11","201405619 DIFF.ndpi.h19.jpg","201405619","DIFF",0.0012381073,0.6055164,0.41370308,0.29693785,0.11175003,1.8613715,0.0011467253,0.078188464,0.052123312,0.0012433359,0.18893248,0.014919626,0.0010703357,0.002713842,0.0076325363,0.11970742,0.018817885,0.25498626,0.65600985,0.37443182,0.0043291543,0.6746384,2.6645317,0.030040696,0.34242594,0.23703511,0.048440784,0.0011037518,0.010021533,0.015369357,0.38844568,0.7220946,0.000384231,0.009726781,0.00447363,0.6174412,0.05266404,0.37470406,0.17361082,0.12752068,"Discovery"
"12","201405619 DIFF.ndpi.h2.jpg","201405619","DIFF",0.0036105083,0.17871562,0.089300536,0.47813264,0.021123322,1.9536132,0,0.12504105,0.050696243,1.9725489e-05,0.24666245,0.023841156,0.0010032137,0.0023370348,0.0069926623,0.23806316,0.033264063,0.19266716,1.5223541,0.0004378478,0.0028138708,1.6660081,2.584985,0.03883758,0.013610438,0.5315301,0.116705485,0.00087228016,0.01020776,0.012887682,0.3998731,0.36850396,0.0013757407,0.2667464,0.71062726,0.81466573,0.023468507,0.06909826,0.06056164,0.01381958,"Discovery"
"13","201405619 DIFF.ndpi.h20.jpg","201405619","DIFF",0.0018776222,0.059449363,0.84198225,0.0928954,0,3.020401,0.004064628,0.13829142,0.08112816,0.004037869,0.36039203,0.02302405,0.0017435119,0.0025130468,0.011887563,0.08616116,0.0002017745,0.0030161047,0.745409,0.10761166,0.0036612062,1.1460506,2.7344174,0.031761497,0.112176515,0.2070893,0.015667861,0.0006583521,0.01614384,0.013172814,0.5560511,0.49022296,0.0020029917,0.09551001,0.41154838,0.37976396,0.033692367,0.070773855,0.071574606,0.024651747,"Discovery"
